Terminal,H1,COI,RAG1_A,RAG1_B
Phantasmarana_apuana_CFBH10811,MW704007,NA,MW703996,NA
Phantasmarana_apuana_CFBHT09118,MW704004,NA,NA,NA
Phantasmarana_apuana_MTR12614,MW704005,KU494594,MW703994,NA
Phantasmarana_apuana_MTR12650,MW704006,KU494593,MW703995,NA
Phantasmarana_apuana_SMRP526.4,MT409024,NA,NA,MZ043786
Phantasmarana_apuana_TLFT1981,MT409023,NA,NA,MZ043787
Phantasmarana_apuana_TLFT1911,MT409025,NA,NA,MZ043788
Phantasmarana_boticariana_CFBH06292,KJ961586,KJ961566,KJ961604,NA
Phantasmarana_boticariana_CFBH06293,MW704008,NA,NA,NA
Phantasmarana_boticariana_SMRP109.1,MT409032,NA,NA,MZ043794
Phantasmarana_boticariana_SMRP109.2,MT409033,NA,NA,MZ043795
Phantasmarana_boticariana_ZUEC24587,MT409034,NA,NA,MZ043796
Phantasmarana_curucutuensis_CFBH17668 ,MW704012,MW703990,MW703998,NA
Phantasmarana_jordanensis_CFBH28578,MT409029,NA,NA,NA
Phantasmarana_jordanensis_SMRP81.3,MT409027,NA,NA,MZ043791
Phantasmarana_jordanensis_SMRP81.6,MT409026,NA,NA,MZ043789
Phantasmarana_jordanensis_SMRP81.8,MT409028,NA,NA,MZ043790
Phantasmarana_jordanensis_MCP11575,MF624238,NA,NA,NA
Phantasmarana_lutzae_SMRP555.1,MZ043810,NA,NA,MZ043781
Phantasmarana_lutzae_SMRP555.2,MZ043811,NA,NA,MZ043782
Phantasmarana_lutzae_SMRP555.3,MZ043812,NA,NA,MZ043783
Phantasmarana_lutzae_SMRP555.4,MZ043813,NA,NA,MZ043784
Phantasmarana_lutzae_SMRP555.5,MZ043814,NA,NA,MZ043785
Phantasmarana_massarti_CFBHT23090,MW704019,NA,NA,NA
Phantasmarana_massarti_ZUEC11395,MT409030,NA,NA,MZ043792
Phantasmarana_massarti_ZUEC11553,MT409031,NA,NA,MZ043793
Phantasmarana_tamuia_CFBH38735,MW704013,NA,MW704000,NA
Phantasmarana_tamuia_CFBH38976,MW704014,MW703992,NA,NA
Phantasmarana_tamuia_CFBH38977,MW704015,MW703993,NA,NA
Phantasmarana_tamuia_CFBH38978a,MW704016,NA,MW704001,NA
Phantasmarana_tamuia_CFBH38978b,MW704017,NA,NA,NA
Phantasmarana_tamuia_CFBH38978c,MW704018,NA,MW704002,NA
Megaelosia_goeldii_CFBH14028,MW704010,NA,NA,NA
Megaelosia_goeldii_CFBH18821,MW704011,MW703989,NA,NA
Megaelosia_goeldii_CFBHT02911,MW704009,NA,MW703997,NA
Megaelosia_goeldii_MZUSP95879,DQ283072,DQ502839,NA,DQ503346
Megaelosia_goeldii_SMRP527.2,MT409020,NA,NA,MZ043797
Megaelosia_goeldii_SMRP527.3,MT409022,NA,NA,MZ043798
Megaelosia_goeldii_SMRP527.4,MT409021,NA,NA,MZ043799
Megaelosia_aff_goeldii_CFBH28108,MW704003,MW703991,NA,NA
Hylodes_amnicola_CFBH30971,KJ961575,KJ961555,KJ961595,NA
Hylodes_amnicola_CFBH30972,KJ961576,KJ961556,KJ961596,NA
Hylodes_asper_ZUEC11555,MT409039,NA,NA,MZ043804
Hylodes_caete_CFBH40524,KY627907,NA,NA,NA
Hylodes_caete_CFBH40526,KY627908,NA,NA,NA
Hylodes_fredi_MNRJ36077,KY627913,NA,NA,NA
Hylodes_heyeri_ZUEC24650,MT409040,NA,NA,MZ043802
Hylodes_japi_CFBH25403,KJ961571,KJ961551,KJ961591,NA
Hylodes_japi_CFBH25426,KJ961572,KJ961552,KJ961592,NA
Hylodes_meridionalis_MCP11546,MF624224,NA,NA,NA
Hylodes_meridionalis_MCP11547,MF624225,NA,NA,MF614360
Hylodes_nasus_MNRJ35435,KJ961577,KJ961557,KJ961597,NA
Hylodes_ornatus_CFBH34905,KJ961578,KJ961558,KJ961598,NA
Hylodes_perere_CFBH31106,KJ961581,KJ961561,KJ961600,NA
Hylodes_perere_CFBH31107,KJ961579,KJ961559,KJ961599,NA
Hylodes_phyllodes_CFBH39961,KY627914,NA,NA,NA
Hylodes_phyllodes_CFBHT03131,KY627915,NA,NA,NA
Hylodes_pipilans_MNRJ37307,KJ961582,KJ961562,KJ961601,NA
Hylodes_pipilans_MNRJ39371,KY627916,NA,NA,NA
Hylodes_regius_CFBH30970,MN011544,NA,NA,NA
Hylodes_regius_CFBH34910,MN011546,NA,NA,NA
Hylodes_sazimai_CFBH29586,KJ961584,KJ961564,KJ961603,NA
Hylodes_sazimai_CFBHT14629,KJ961583,KJ961563,KJ961602,NA
Crossodactylus_caramaschii_CFBH17647,KJ961569,KJ961549,KJ961589,NA
Crossodactylus_gaudichaudii_ZUEC17569,MT893617,NA,NA,NA
Crossodactylus_gaudichaudii_ZUEC17570,MT893618,NA,NA,MZ043808
Crossodactylus_gaudichaudii_novoucher,KM390791,KU234706,NA,NA
Crossodactylus_schmidti_MLPA01414,AY843579,DQ502738,NA,DQ503298
Crossodactylus_trachystomus_MCNAM18054,KY007117,NA,NA,NA
Crossodactylus_werneri_AA01320,KU215900,NA,NA,NA
Crossodactylus_werneri_AAGUFU01876,KU215901,NA,NA,NA
Alsodes_coppingeri,JX204160,JX203879,NA,JX204066
Alsodes_vanzolinii,JX204189,JX203905,NA,JX204084
Eupsophus_nahuelbutensis,JX204213,JX203929,NA,JX204087
Cycloramphus_boraceiensis,KJ961570,KJ961550,KJ961590,NA
