Terminal,H1
Hylodes_japi_CFBH25426,KJ961572
Hylodes_japi_CFBH33850,KJ961574
Hylodes_japi_FPS005A829,KJ961573
Hylodes_japi_ZUEC24642,MT409035
Hylodes_japi_ZUEC24643,MT409036
Hylodes_lateristrigatus_CFBHT375,MT771738
Hylodes_lateristrigatus_MNRJ38413,MT771925
Hylodes_lateristrigatus_MNRJ68986,MT771929
Hylodes_lateristrigatus_KM390794,KM390794
Hylodes_magalhaesi_CFBH2295,MW192410
Hylodes_magalhaesi_CFBH07491,MN265235/MN382649
Hylodes_meridionalis_MCP11546,MF624224
Hylodes_meridionalis_MCP11547,MF624225
Hylodes_pipilans,KM390795
Hylodes_pipilans_MNRJ37307,KJ961582
Hylodes_pipilans_MNRJ39371,MW010302/KY627916
Hylodes_regius_CFBH30970,MN011544
Crossodactylus_caramaschii_CFBH36359,MT893618
Crossodactylus_caramaschii_CFBH38948,MT893619/MT895696
Crossodactylus_dantei_MHNUFAL17664,MT893620/MT895697
Crossodactylus_gaudichaudii_ZUEC17569,MT893621/MT895698
Crossodactylus_gaudichaudii_ZUEC17570,MT893622/MT895699
Crossodactylus_gaudichaudii_ZUEC17571,MT893623/MT895700
Crossodactylus_gaudichaudii_ZUEC17578,AY843579
Crossodactylus_gaudichaudii_ZUEC17579,KY007117
